"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"ERR3211671"	52.48	47.36	0.04
"SRR7907984"	92.46	7.13	0.4
"ERR3211681"	51.64	48.19	0.04
"SRR8426594"	92.72	7.18	0.08
"ERR3211623"	71.27	28.4	0.25
"SRR7907998"	92.66	7.03	0.29
"SRR7907973"	90.24	9.62	0.12
"SRR7907970"	92.66	6.92	0.41
"SRR7907995"	92.76	7.03	0.2
"SRR8816798"	91.63	6.27	1.96
"SRR7907965"	93.27	6.48	0.24
"ERR906879"	97.46	2.03	0.41
"SRR7907999"	92.46	7.07	0.45
"SRR8816781"	81.51	16.91	1.33
"ERR3211678"	52.77	47.06	0.03
"SRR8816796"	90.05	7.36	2.44
"SRR7907971"	89.92	9.64	0.4
"SRR7908002"	92.71	6.91	0.36
"SRR7907976"	90.14	9.73	0.12
"SRR7907979"	90.96	8.62	0.41
"SRR8816747"	81.55	18.17	0.19
"SRR9178130"	96.02	1.57	1.05
"ERR3211700"	67.7	31.95	0.22
"SRR8818339"	94.06	5.77	0.14
"SRR9178079"	93.68	1.05	1.27
"ERR3211710"	70.48	29.15	0.26
"ERR3211584"	67.95	31.71	0.26
"SRR8816741"	93.1	6.78	0.09
"SRR7908000"	92.42	7.28	0.28
"SRR7907991"	91.93	7.45	0.6
"ERR3211547"	52.55	47.28	0.04
"SRR7877884"	1.31	95	3.22
"SRR7907982"	91.91	7.66	0.41
"ERR3211609"	67.33	32.27	0.31
"ERR3211740"	54.63	45.05	0.17
"ERR884065"	98.15	1.55	0.29
"ERR3211727"	70.6	29.02	0.28
"ERR3211682"	52.73	47.11	0.03
"SRR7907997"	92.38	7.38	0.23
"ERR3211680"	53.03	46.8	0.03
"SRR8821149"	92.4	7.52	0.07
"SRR8821136"	94.43	5.52	0.04
"SRR7877888"	95.12	4.78	0.08
"SRR9178117"	82.81	15.26	1.26
"ERR3211605"	66.55	32.98	0.38
"ERR3211703"	66.53	33.06	0.26
"SRR8816721"	92.61	7.25	0.1
"ERR3211725"	70.87	28.85	0.19
"SRR8426591"	85.42	13.87	0.66
"ERR3211586"	65.97	33.74	0.22
"SRR7877887"	64.63	35.13	0.22
"ERR3211729"	69.57	30.1	0.23
"ERR3211713"	72.98	26.65	0.29
"SRR7907994"	91.63	7.84	0.52
"SRR7907980"	92.89	6.85	0.25
"SRR7907981"	91.86	7.72	0.41
"SRR7877879"	90.89	8.97	0.12
"DRR090554"	54.51	45.09	0.21
"ERR3211607"	62.83	36.65	0.43
"ERR3211621"	71.39	28.43	0.09
"SRR7907969"	93.25	6.45	0.29
"ERR884064"	97.46	2.03	0.41
"ERR3211684"	68.18	31.39	0.33
"ERR3211718"	72.19	27.48	0.22
"ERR3211698"	65.23	33.74	0.82
"SRR8821120"	93.81	6.12	0.07
"ERR3211742"	50.79	48.93	0.16
"SRR9178080"	91.29	1.64	0.92
"DRR090562"	93.8	5.78	0.28
"ERR3211679"	51.92	47.91	0.03
"SRR9178126"	97.87	0.18	0.35
"SRR8821152"	91.59	8.25	0.15
"ERR3211597"	68.69	31.1	0.13
"SRR7908001"	90.56	9.27	0.15
"ERR3211694"	68.24	31.04	0.56
"SRR7907967"	89.83	9.86	0.28
"ERR3211672"	53.46	46.37	0.04
"ERR3211716"	69.05	30.67	0.19
"SRR8426593"	85.06	14.24	0.59
"ERR3211705"	68.25	31.41	0.21
"ERR3211689"	56.21	43.52	0.18
"SRR8821169"	94.03	5.82	0.15
"ERR3211714"	70.94	28.7	0.27
"ERR3211571"	65.79	33.71	0.41
"ERR3211599"	66.65	33.06	0.2
"SRR7907996"	91.96	7.84	0.19
"SRR8205411"	93.13	6.55	0.31
"SRR8426592"	92.46	7.43	0.08
"SRR8426597"	81.35	18.46	0.17
"SRR8821130"	92.62	7.32	0.05
"SRR8821166"	88.18	7.43	4.39
"ERR3211568"	70.49	28.85	0.56
"SRR9178095"	93.13	1.12	0.82
"SRR9178175"	97.93	0.2	0.31
"SRR8426587"	63.06	35.71	0.17
"ERR3211722"	73.97	25.65	0.27
"DRR090559"	91.69	7.45	0.35
"SRR7877890"	60.35	39.53	0.11
"ERR3211720"	69.55	28.13	2.2
"ERR3211582"	63.8	35.78	0.34
"SRR9178077"	98.28	0.17	0.31
"ERR3211711"	68.84	30.81	0.25
"DRR090567"	79.77	15.07	4.92
"SRR9037724"	82.83	16.5	0.35
"SRR8821145"	91.34	8.55	0.11
"SRR7907990"	92.64	7.14	0.2
"SRR9178094"	83.08	14.27	2.02
"ERR3211732"	71.17	28.55	0.19
"ERR3211733"	69.78	29.98	0.16
"SRR8426596"	73.42	26.49	0.04
"ERR3211707"	65.23	34.3	0.31
"SRR9178144"	94.65	0.97	0.99
"SRR9178182"	96.46	1.28	0.52
"SRR8821156"	93.57	6.2	0.22
"ERR3211647"	55.12	44.65	0.07
"SRR9178096"	94.96	1.3	1.03
"SRR8821118"	92.03	7.88	0.07
"ERR3211657"	51.03	48.81	0.04
"ERR3211549"	50.17	49.66	0.04
"ERR3211654"	54.04	45.8	0.04
"SRR8821134"	93.39	6.53	0.07
"SRR9178070"	96.54	1.11	0.27
"SRR9178156"	81.26	16.76	1.26
"SRR9178093"	82.45	15.26	1.56
"ERR3211622"	69.72	29.91	0.29
"SRR9178178"	97.61	0.37	0.31
"SRR7877882"	36.33	63.4	0.19
"DRR090556"	85.78	13.65	0.22
"ERR3211631"	2.1	97.78	0.09
"ERR3211589"	70.74	28.81	0.36
"SRR9178202"	94.93	2.12	1.26
"SRR7877885"	92.28	7.6	0.08
"DRR090569"	80.72	12.88	6.07
"SRR7907987"	92.58	6.95	0.47
"SRR9178139"	96.45	0.66	0.38
"SRR9178208"	94.5	0.99	1.09
"ERR3211719"	71.6	27.92	0.35
"ERR3211573"	2.03	97.78	0.15
"SRR9178103"	77.16	20.69	1.7
"SRR9178120"	96.52	1.09	0.49
"SRR9178132"	98.11	0.2	0.48
"ERR3211603"	70.94	28.62	0.36
"SRR9178076"	95.97	0.84	0.52
"SRR9178135"	95.66	1.12	0.42
"SRR9178138"	96.05	0.98	0.62
"SRR9178241"	97.31	0.57	0.64
"ERR3211651"	55.43	44.39	0.05
"SRR8821143"	93.1	6.72	0.18
"SRR9178214"	94.96	0.71	1.46
"SRR7907992"	91.87	7.56	0.55
"SRR7907988"	92.51	6.92	0.55
"SRR7907977"	90.74	8.67	0.57
"SRR9178071"	97.23	0.48	0.54
"SRR8821122"	93.97	5.97	0.05
"SRR9178114"	94.49	0.94	1.22
"ERR3211723"	72.68	26.9	0.32
"SRR9178171"	95.3	2.09	1.08
"SRR7877880"	20.38	79.56	0.04
"SRR9178102"	94.03	3.16	1.39
"ERR3211677"	52.69	47.13	0.03
"ERR3212015"	69.64	29.96	0.32
"SRR7877883"	66.27	33.55	0.16
"SRR9178242"	98.99	0.13	0.19
"ERR3211736"	70.32	29.03	0.56
"SRR7877886"	51.22	48.47	0.28
"SRR9178249"	98.06	0.17	0.33
"ERR3211648"	53.93	45.87	0.05
"ERR3211630"	56.09	43.67	0.09
"ERR3211735"	69.18	30.19	0.53
"SRR9178121"	97.67	0.23	0.3
"SRR7976294"	92.06	7.83	0.1
"ERR3211730"	67.48	32.22	0.21
"SRR7877881"	24.93	75	0.05
"ERR3211691"	67.51	31.83	0.53
"SRR9178097"	82.98	14.76	1.79
"SRR9178201"	96.87	0.66	0.33
"SRR8821123"	94.48	5.47	0.04
"DRR090552"	95.41	4.38	0.16
"ERR3211724"	72.81	26.75	0.35
"SRR9178083"	93.06	4.23	1.66
"SRR9178090"	94.65	1.76	1.15
"ERR3211709"	70.55	29.09	0.26
"ERR3211675"	51.79	48.05	0.04
"SRR9178133"	96.38	0.73	0.37
