"Accession"	"Unidentified"	"Bacteria"	"Eukaryotes"
"SRR5676471"	62.72	36.5	0.03
"SRR5919266"	95.43	4.54	0.03
"SRR5676445"	97.29	2.53	0.01
"SRR5676447"	97.82	2.02	0.01
"SRR5677470"	95.09	4.02	0.23
"SRR7632646"	93.28	0.34	0.2
"SRR5924561"	85.47	12.08	1.94
"SRR7632643"	90.79	0.5	0.16
"SRR7632639"	76.34	0.51	0.14
"SRR5676430"	70.22	28.94	0.09
"SRR7632645"	49.61	0.46	0.17
"SRR7406573"	80.06	19.92	0.01
"SRR5924811"	82.35	15.13	2.09
"SRR7406568"	80.74	19.24	0.02
"SRR5924897"	91.27	5.8	2.35
"ERR2431953"	97.78	2.01	0.19
"SRR5676448"	97.66	2.18	0.01
"SRR5676457"	91.6	7.99	0.03
"ERR2431950"	98.46	1.19	0.24
"ERR2431951"	97.87	1.89	0.23
"SRR5924800"	84.95	13.62	1.23
"SRR5676481"	95.04	4.5	0.06
"SRR5677466"	95.95	2.99	0.15
"SRR7632641"	62.6	0.29	0.16
"SRR7406602"	74.42	25.56	0.02
"SRR5923134"	95.31	4.64	0.05
"SRR5919276"	91.65	8.21	0.13
"SRR5924453"	66.01	33.74	0.2
"SRR7632671"	80.96	0.52	0.14
"SRR5919287"	94.36	5.61	0.01
"SRR5677476"	96.23	2.16	0.06
"SRR5924907"	82.06	14.81	2.73
"SRR5676463"	82.23	17.35	0.03
"SRR5924787"	91.27	6.25	2.21
"ERR2431954"	98.07	1.73	0.19
"SRR5676425"	93.91	5.72	0.05
"SRR5676454"	92.68	6.93	0.03
"SRR5676427"	88.49	11.01	0.05
"SRR7406605"	65.6	34.39	0.01
"SRR7632653"	90.21	1.07	0.15
"SRR5677473"	97.22	1.9	0.11
"SRR5922963"	90.79	9.08	0.12
"SRR5676440"	90.34	9.22	0.05
"SRR5677503"	91.21	8.33	0.1
"SRR5676449"	98.62	1.25	0
"SRR5676436"	98.76	1.12	0
"SRR5676459"	92.18	7.44	0.03
"SRR6372877"	94.39	2.45	3.12
"SRR5676439"	90.51	9.04	0.04
"SRR5677502"	91.7	6.4	1.54
"SRR5676435"	96.97	2.87	0.01
"ERR2431952"	97.91	2.02	0.06
"SRR5676460"	90.13	9.43	0.04
"SRR5677475"	93.18	6.19	0.11
"SRR5677496"	95.24	4.01	0.09
"SRR5677484"	95.51	2.86	0.1
"SRR7406601"	72.52	27.46	0.01
"SRR5924879"	87.07	7.33	5.2
"SRR5676472"	59.78	39.93	0.05
"SRR5676428"	75.91	23.85	0.06
"SRR5676438"	92.07	7.45	0.05
"SRR5676473"	59.29	39.93	0.03
"SRR7632640"	81.45	0.29	0.13
"SRR5924919"	89.18	9.85	0.74
"SRR7632674"	49.26	0.22	0.11
"SRR5676466"	94.65	4.94	0.05
"SRR5924887"	90	8.11	1.41
"SRR7406607"	74.63	25.36	0.01
"ERR2431949"	98.55	1.2	0.17
"SRR5676477"	91.03	8.54	0.05
"SRR7406606"	82.11	17.88	0.01
"SRR5676446"	98.28	1.6	0.01
"SRR5468107"	94.91	4.58	0.49
"SRR5677492"	87.43	12.05	0.26
"SRR5677495"	87.57	11.96	0.17
"SRR5924871"	87.25	9.69	2.76
"SRR5677479"	90.83	7.68	1.17
"SRR7406603"	78.58	21.41	0.01
"ERR2431947"	98.53	1.21	0.09
"SRR6370751"	89.55	1.93	8.47
"SRR7783601"	78.7	20.87	0.15
"SRR5676437"	89.21	10.3	0.05
"SRR7632677"	55.11	0.48	0.14
"SRR7632673"	58.59	0.26	0.1
"SRR5915062"	58.09	41.38	0.11
"SRR5677497"	88.06	9.88	1.59
"ERR2108701"	84.75	14.59	0.63
"SRR5676432"	72.31	26.93	0.07
"SRR5676429"	78.01	21.31	0.1
"SRR5676464"	92.38	7.13	0.05
"SRR5676467"	56.59	43.23	0.02
"SRR5924853"	87.39	9.96	2.15
"SRR7632680"	69.26	0.37	0.13
"SRR5677489"	96.03	3.11	0.02
"SRR5676453"	91.06	8.51	0.04
"SRR5676468"	54.75	45.01	0.03
"SRR5676465"	93.05	6.44	0.06
"SRR5677471"	96.31	2.08	0.14
"SRR5676476"	72.89	26.9	0.07
"SRR5676456"	89.22	10.42	0.02
"SRR5676458"	91.55	8.02	0.03
"SRR5915181"	96.09	3.32	0.48
"SRR5676426"	73.8	25.44	0.09
"SRR5677481"	92.43	6.16	0.09
"SRR5468112"	96.1	3.41	0.45
"SRR5676469"	65.93	33.35	0.02
"SRR5677477"	96.44	2.64	0.25
"SRR5677491"	95.06	4.24	0.03
"SRR5677483"	94.52	4.87	0.14
"SRR5468106"	95.08	4.09	0.81
"SRR5677507"	97.05	2.3	0.04
"SRR5676443"	92.18	7.43	0.02
"SRR6372878"	96.16	3.53	0.19
"ERR2108714"	96.98	2.99	0.02
"SRR5468108"	95.26	4.52	0.19
"SRR5676450"	96.8	3.02	0.01
"SRR5915040"	94.05	4.62	0.64
"SRR7615342"	97.74	1.92	0.32
"SRR5677468"	96.43	2.31	0.45
"SRR5677493"	88.9	8.99	1.8
"ERR2108704"	68.61	30.17	1.21
"SRR5915589"	88.06	9.08	2.55
"SRR5924875"	83.35	13.74	2.61
"ERR2431956"	97.55	2.34	0.05
"SRR5676442"	86.25	13.28	0.04
"SRR5915523"	78.02	19.16	2.36
"SRR7224129"	34.81	64.78	0.39
"SRR5676479"	67.25	32.2	0.03
"ERR2108706"	63.85	32.59	3.56
"SRR5677482"	87.66	11.84	0.23
"SRR5677498"	96.07	3.37	0.1
"SRR5676478"	86.67	12.85	0.05
"SRR5677488"	96.79	2.14	0.03
"SRR5677506"	92.62	5.8	1.24
"SRR5915398"	63.42	36.2	0.03
"ERR2431945"	98.5	1.17	0.13
"SRR5915135"	87.36	9.25	2.3
"SRR5915010"	95.78	2.86	0.84
"SRR5468104"	95.33	4.52	0.13
"ERR2108711"	46.29	52.72	0.95
"SRR5915433"	86.45	9.97	2.9
"SRR5677469"	95.7	3.41	0.03
"SRR5915382"	95.68	3.24	0.66
"ERR2108703"	63.27	35.89	0.83
"SRR5676444"	96.91	2.89	0.01
"SRR5915060"	95.08	2.52	1.77
"SRR5676475"	93.39	6.16	0.06
"ERR2108710"	64.16	32.87	2.95
"SRR5468105"	95.59	4.24	0.13
"SRR5915579"	82.69	11.95	3.24
"SRR5915116"	91.01	8.15	0.38
"SRR7614767"	97.22	2.6	0.16
"SRR5676434"	77.55	21.85	0.09
"SRR5915278"	93.67	3.16	0.98
"SRR5915463"	88.22	7.74	3.92
"SRR5468110"	95.66	4.15	0.15
"SRR5915495"	92.96	3.62	2.39
"SRR5676441"	87.4	12.1	0.05
"SRR5469039"	90.7	8.54	0.73
"SRR5915500"	90.2	6.89	2.58
"SRR5469038"	86.68	9.56	3.72
"SRR5581384"	85.1	14.09	0.21
"SRR5915058"	90.26	3.24	1.79
"SRR5915007"	89.57	6.07	3.54
"SRR5915778"	82.59	15.21	1.22
"SRR7224131"	40.91	58.9	0.16
"SRR5914958"	96.14	2.85	0.91
"ERR2108709"	50.91	46.32	2.75
"SRR5581382"	94.59	4.63	0.04
"ERR2108712"	97.86	2.03	0.1
"SRR5915238"	89.07	9.19	0.87
"SRR5915270"	90.99	7.12	1.28
"SRR5677500"	93.86	3.96	0.09
"SRR5915297"	91.44	3.33	0.72
"SRR5915165"	88.77	9.96	0.86
"SRR5676474"	57.99	41.45	0.03
"SRR5915536"	83.34	14.32	2.08
"SRR5915282"	94.8	3.29	0.77
"SRR5915652"	89.53	8.24	1.68
"SRR5915372"	93.98	3.63	0.49
"SRR5915633"	42.81	56.31	0.57
"SRR5915352"	96.15	2.93	0.78
"SRR5677501"	90.37	9.06	0.24
"SRR5915293"	87.76	8.86	1.88
"SRR5676462"	74.6	24.77	0.09
"SRR5808811"	97.74	1.84	0.01
"SRR5915823"	86.4	10.9	1.61
"SRR5915648"	84.99	12.7	1.85
"SRR5915251"	64.86	35.03	0.08
"SRR5915298"	93.71	4	0.69
"SRR5915033"	67.14	32.19	0.64
"SRR5915868"	82.86	13.72	2.69
"SRR5468109"	95.3	4.2	0.47
"SRR5808827"	96.86	2.77	0
"SRR5915448"	87.03	8.52	4.02
"SRR5915602"	87.32	9.35	3.1
"SRR5808824"	97.5	1.96	0.03
"SRR5915207"	92.54	4.38	2.64
"SRR5915894"	87.73	4.31	7.48
"SRR5915428"	91.12	5.93	1.91
"SRR5896027"	65.95	32.73	0.07
"ERR2108700"	97.78	2.16	0.04
"SRR5915883"	77.26	18.17	3.68
"SRR5677478"	97.64	1.85	0.05
"SRR5677494"	84.27	13.82	1.8
"SRR5915624"	79.85	17.39	1.86
"SRR5915575"	55.07	39.42	3.62
"SRR6214011"	80.09	19.77	0.01
"ERR2108702"	78.15	20.16	1.67
"SRR5915841"	81.18	14.17	3.81
"SRR5915611"	85.33	9.86	3.38
"SRR6144759"	57.61	41.65	0.7
"SRR5915753"	84.94	10.95	2.43
"SRR5915628"	83.06	12.66	3.71
"SRR5915692"	87.91	7.15	4.65
"SRR5677467"	92.26	7.15	0.07
"SRR6144758"	65.12	34.6	0.26
"SRR6144753"	72.91	26.13	0.86
"SRR5914973"	89.95	7.99	1
"SRR5915541"	89.5	8.12	1.77
"SRR5915813"	86.29	10.47	2.7
"SRR5808823"	98.2	1.35	0.01
"SRR5915537"	83.54	13.97	1.85
"SRR5915847"	72.7	25.23	1.71
"SRR5915194"	75.86	21.66	1.93
"SRR5677487"	96.21	2.33	0.15
"SRR5915733"	87.08	7.33	5.23
"SRR5915829"	88.02	6.82	4.79
"SRR5915806"	86.61	10.1	3.15
"SRR6144754"	76.47	21.16	2.15
"SRR5468111"	95.36	4.4	0.21
"SRR7224130"	28.43	71.26	0.29
"SRR7224128"	24.59	74.92	0.46
"SRR5915738"	76.99	19.51	2.74
"SRR5915639"	75.31	23.14	1.23
"ERR1811630"	98.62	1.2	0.01
"SRR5915473"	81.66	15.74	2.08
"SRR5677508"	96.3	2.21	0.06
"SRR5915819"	87.27	10.22	1.95
"SRR5915713"	30.79	67.75	0.82
"SRR5914948"	92.84	4.85	0.95
"SRR5915898"	80.48	12.64	3.98
"SRR5676433"	88.31	11.21	0.04
"SRR5915593"	82	14.63	2.4
"SRR5915945"	94.94	4.98	0.06
"SRR5915667"	38.64	59.32	0.75
"SRR5808813"	97.78	1.8	0.01
"SRR5915817"	84.41	13.7	1.58
"SRR5808821"	97.56	1.94	0.02
"SRR5915729"	34.18	65.76	0.02
"ERR1811628"	98.23	1.5	0.01
"SRR5915607"	81.21	14.91	1.11
"SRR5915822"	84.18	11.74	3.61
"SRR5574339"	91.2	5.67	2.43
"SRR5915758"	84.31	9.42	6.02
"SRR5915861"	87.82	8.96	2.88
"SRR5896015"	93.56	5.78	0.38
"SRR5915656"	68.98	29.32	1.47
"SRR5915934"	92.84	7.1	0.06
"ERR1811644"	98.59	1.23	0
"ERR1811634"	99.34	0.54	0.01
"SRR6214541"	97.7	2.17	0.01
"SRR5512140"	95.38	4.21	0.39
"SRR5808812"	97.82	1.67	0.01
"SRR5915857"	90.4	7.17	1.88
"SRR5512136"	97.57	1.97	0.28
"SRR5896114"	95.26	1.17	0.15
"SRR5915223"	90.87	6.06	1.93
"SRR5915644"	71.46	26.33	1.64
"SRR5915674"	80.73	17.21	1.71
"ERR1811642"	98.53	1.28	0.01
"SRR5262253"	90.69	7.32	0.04
"SRR5808808"	97.81	1.73	0.01
"SRR6144760"	60.68	39.01	0.28
"SRR6144761"	63.02	36.1	0.85
"SRR5915798"	84.95	8.07	6.63
"SRR5574341"	85.76	3.26	6.77
"SRR6670121"	74.79	25.06	0.15
"SRR5262248"	92.78	6.47	0.04
"SRR5808806"	97.29	2.28	0
"SRR6144756"	81.91	10.91	7.14
"SRR5808826"	98.23	1.4	0
"ERR1811659"	98.42	1.37	0
"SRR5915685"	41.39	58.57	0.01
"SRR5574338"	92.69	4.86	1.35
"SRR5915919"	80.69	17.52	1.6
"SRR5896031"	89.06	8.15	2.43
"ERR1811647"	96.23	3.5	0.02
"ERR1811652"	98.58	1.23	0.01
"SRR5512138"	95.41	4.2	0.16
"SRR5896115"	95.74	3.41	0.12
"ERR1811638"	98.32	1.5	0
"ERR1811656"	98.9	0.96	0
"SRR5262252"	96.14	3.83	0.02
"SRR6144755"	70.97	27.91	1.06
"ERR1811657"	97.79	2.01	0.01
"ERR1811658"	98.5	1.31	0
"ERR1811632"	98.32	1.41	0
"SRR5262249"	92.67	6.4	0.04
"SRR5574340"	81.63	5.2	7.23
"SRR5621770"	92.31	0.75	0
"ERR1811640"	96.56	3.11	0.05
"ERR1811653"	98.22	1.61	0.01
"SRR6214538"	97.92	2.06	0.02
"SRR5262247"	96.32	3.66	0.01
"SRR5512134"	95.3	4.32	0.14
"SRR8074307"	89.38	6.41	1.71
"SRR5262250"	96.57	3.41	0.02
"SRR6231311"	94.59	5.35	0.04
"ERR1811626"	98.36	1.45	0.01
"SRR5574342"	92.78	3.15	2.3
"SRR6231309"	94.65	5.28	0.05
"SRR6144757"	65.07	32.99	1.91
"SRR5915890"	45.17	54.66	0.03
"ERR1811649"	98.43	1.27	0.01
"SRR8571165"	91.87	7.63	0.45
"SRR8943083"	98.26	0.93	0.81
"SRR5262244"	96.33	3.65	0.01
"SRR5891576"	89.08	10.56	0.27
"SRR6307338"	95.73	4.01	0.26
"SRR8074308"	89.71	7.63	1.3
"SRR5262254"	90.63	7.22	0.04
"ERR1811650"	98.2	1.51	0
"SRR5512142"	95.17	4.44	0.39
"SRR6670123"	93.2	6.63	0.16
"ERR1811661"	98.71	1.09	0.02
"SRR8929714"	83.59	16.35	0.06
"SRR5512133"	94.38	5.19	0.4
"SRR5512143"	95.95	3.76	0.27
"SRR5512144"	94.91	4.81	0.26
"ERR1811643"	98.41	1.39	0.01
"SRR6670120"	75.94	23.74	0.3
"SRR5262246"	92.47	6.06	0.71
"SRR5574344"	87.11	12.13	0.15
"SRR8943089"	79.37	19.92	0.61
"SRR5512146"	95.31	4.39	0.29
"ERR1811633"	98.24	1.53	0.01
"SRR5574337"	75.1	7.27	12.77
"ERR1076082"	90.73	9.18	0.05
"SRR3571355"	96.76	3.22	0.02
"SRR8929712"	80.52	19.43	0.05
"SRR8929695"	81.29	18.65	0.05
"SRR8929710"	82.18	17.78	0.04
"SRR8943097"	97.89	1.49	0.58
"SRR8571166"	85.86	14.01	0.11
"SRR3580071"	97.57	2.2	0
"SRR8571170"	86.45	13.45	0.08
"SRR8943092"	81.51	16.62	1.63
"SRR8943084"	82.29	17.21	0.43
"SRR8943098"	78.79	20.8	0.32
"SRR2939624"	87.12	12.32	0.56
"SRR8943093"	79.53	19.72	0.64
"SRR8074311"	88.92	7.4	1.89
"SRR8929709"	82.65	17.29	0.05
"DRR099838"	83.64	16.18	0.05
"SRR9309975"	21.2	78.46	0.03
"SRR8929705"	76.4	23.55	0.04
"ERR1076078"	65.08	3.79	5.92
"SRR8943096"	97.91	1.49	0.56
"SRR3679775"	86.6	13.07	0.28
"SRR8074309"	92.28	4.7	1
"SRR3473949"	80.76	17.93	0.33
"SRR8929704"	72.98	26.97	0.04
"ERR2607434"	65.62	33.92	0.12
"SRR8643648"	73.42	22.77	3.23
"SRR5127900"	85.46	8.05	6.48
"SRR3476971"	25.88	24.25	1.4
"ERR2607388"	48.95	50.92	0.06
"SRR8943095"	79.58	19.7	0.61
"ERR2607384"	50.59	48.65	0.36
"SRR3184745"	67.93	31.99	0.06
"ERR2607426"	67.58	31.85	0.21
"ERR2607475"	48.55	51.17	0.23
"ERR2598800"	85.33	12.62	1.91
"SRR8929708"	81.09	18.85	0.05
"SRR8943091"	97.07	0.95	1.97
"ERR2607387"	52.38	46.59	0.45
"SRR4754859"	90.68	9.18	0.09
"ERR977422"	64.69	35.27	0.02
"ERR2607477"	57.84	38.47	2.89
"SRR3580187"	93.45	6.36	0
"ERR2607553"	63.66	34.36	1.59
"SRR8074310"	88.35	9.68	1.29
"SRR8929698"	83.23	16.72	0.04
"SRR3284189"	88.6	11.27	0.11
"ERR2607381"	56.91	42.57	0.22
"ERR2607516"	65.05	34.55	0.34
"ERR2607487"	54.48	44.76	0.61
"SRR4754861"	93.9	5.68	0
"ERR2607390"	53.41	46.43	0.06
"SRR8943090"	79.76	18.3	1.68
"SRR4465024"	87.09	5.99	6.25
"SRR8929692"	85.04	14.9	0.06
"ERR977417"	94.35	5.36	0.04
"ERR2607386"	54.3	44.66	0.42
"ERR2607373"	51.05	47.94	0.64
"ERR2607427"	84.39	14.96	0.08
"ERR2607456"	89.73	9.81	0.04
"SRR5690703"	67.01	31.36	0.02
"ERR2607414"	65.1	33.98	0.35
"ERR2607401"	78.28	21.03	0.08
"ERR2607439"	74.46	23.99	0.91
"ERR2607409"	48.61	50.82	0.27
"ERR2607455"	34.7	64.68	0.58
"ERR2607423"	84.69	14.94	0.31
"SRR8943094"	78.94	20.59	0.4
"ERR2607486"	16.59	83.36	0.02
"ERR2607547"	49.7	50.25	0.03
"ERR2607479"	63.88	35.99	0.06
"ERR2607491"	62.02	37.41	0.19
"SRR3476747"	91.5	7.1	1.38
"ERR2607517"	63.41	36.17	0.35
"ERR2607538"	55.23	44.55	0.11
"ERR2607570"	59.83	39.47	0.16
"ERR977419"	94.6	5.07	0.04
"ERR2607464"	72.52	27.35	0.07
"SRR3932153"	3.8	72.51	0.03
"ERR2607535"	61.96	36.2	0.73
"ERR2607605"	63.69	34.94	0.82
"SRR4465037"	31.73	4.06	1.17
"ERR2607554"	61.5	36.4	1.7
"ERR2607510"	90.32	9.37	0.07
"ERR2607498"	55.2	44.05	0.23
"ERR2607446"	74.22	25.31	0.28
"SRR8929711"	81.77	18.18	0.04
"ERR2607430"	68.39	31.26	0.16
"ERR2607420"	45.42	53.03	0.21
"ERR2598794"	89.78	9.65	0.53
"ERR2607492"	37.21	62.37	0.31
"ERR2607533"	60.74	37.83	0.93
"SRR4465027"	80.61	8.04	10.47
"ERR2607377"	50.97	48.72	0.12
"ERR2607563"	63.29	35.88	0.18
"ERR2607412"	55.41	43.85	0.29
"ERR2607589"	76.31	23.45	0.1
"ERR2607372"	53.54	45.52	0.59
"ERR2598802"	91.6	8	0.39
"ERR2607604"	65.49	34.01	0.24
"SRR3571025"	91.77	8.2	0.02
"ERR2598797"	85.24	14.66	0.07
"ERR2607445"	76.53	23.29	0.08
"ERR2607592"	46.38	51.24	2.13
"ERR2607585"	67.71	30.97	0.87
"ERR2607512"	90.32	9.39	0.1
"ERR977414"	91.82	7.98	0.01
"SRR3476972"	81.98	17.04	0.81
"ERR2607371"	49.79	49.45	0.54
"ERR2598795"	90.63	8.6	0.7
"ERR2607391"	52.08	47.74	0.08
"ERR2607501"	52.75	46.35	0.71
"ERR2607480"	56.04	43.7	0.11
"ERR2607467"	47.67	52.04	0.2
"ERR2607505"	63.84	35.78	0.2
"ERR2607429"	69.99	29.69	0.14
"ERR2607468"	48.78	50.94	0.19
"ERR2607571"	58.82	40.48	0.18
"SRR5453780"	90.51	0.81	0
"ERR2607576"	73.88	24.74	0.48
"ERR2607425"	69	30.47	0.17
"ERR2607556"	61.01	38.34	0.15
"ERR2607564"	48.75	49.82	1.03
"ERR2607577"	75.2	23.32	0.21
"ERR2607469"	49.05	50.47	0.29
"ERR2607484"	60.65	38.18	0.79
"ERR2607431"	62.6	37.13	0.09
"ERR2607441"	51.27	48.67	0.03
"ERR2607599"	65.33	34.27	0.17
"ERR2607567"	52.87	45.54	1.02
"ERR2607465"	74.45	25.4	0.07
"ERR2607578"	73.36	25.38	0.23
"ERR2607508"	72.68	25.45	0.64
"ERR2607588"	61.58	37.86	0.28
"SRR3580189"	91.73	8.12	0
"ERR2607472"	55.18	44.22	0.34
"ERR2607395"	87.9	11.91	0.08
"ERR2607497"	56.76	42.5	0.22
"ERR2607442"	75.98	23.85	0.08
"ERR2607437"	54.9	44.68	0.15
"ERR2607421"	68.8	30.78	0.21
"ERR2607537"	54.39	45.38	0.11
"ERR2607481"	59.99	39.1	0.64
"ERR2607521"	64.9	31.15	3.63
"SRR5214708"	96.55	3.44	0.01
"ERR2607394"	87.66	12.15	0.08
"SRR5440535"	98.93	0.8	0
"ERR2607452"	30.7	68.71	0.56
"ERR2607448"	57.13	42.27	0.28
"SRR5440530"	96.62	2.57	0
"SRR5453782"	89.13	1.38	0.01
"ERR2607466"	71.71	28.12	0.09
"ERR2607513"	90.57	9.16	0.08
"ERR2607530"	51.26	47.77	0.54
"ERR2607443"	76.08	23.74	0.08
"SRR5788101"	67.16	12.91	0.16
"ERR2607379"	56.2	43.27	0.23
"SRR5788123"	68.51	22.34	0.23
"ERR2598798"	87.51	12.15	0.26
"ERR2607595"	65.63	33.18	0.39
"ERR2607400"	79.77	19.57	0.05
"ERR2607500"	52.55	46.58	0.77
"ERR2607471"	56.8	42.59	0.35
"ERR2607494"	41.79	57.72	0.34
"ERR2607597"	64.36	34.24	0.81
"ERR2607460"	64.42	34.81	0.46
"ERR2607447"	56.78	42.7	0.29
"ERR2598803"	90.62	9	0.36
"ERR2607519"	42.37	57.57	0.02
"SRR5440531"	97.3	2.58	0.12
"ERR2607433"	67.03	32.19	0.44
"ERR2607470"	53.84	45.64	0.33
"ERR2607454"	38.96	60.47	0.54
"ERR2598801"	66.97	31.8	1.18
"ERR2607451"	57.52	42.07	0.11
"ERR2607422"	64.18	35.44	0.19
"ERR2607396"	86.65	13.11	0.12
"ERR2607405"	66.76	32.27	0.3
"SRR5788097"	66.65	24.57	0.1
"ERR2607436"	66.1	33.55	0.16
"ERR2607461"	61.11	38.52	0.11
"ERR2607499"	51.97	47.16	0.76
"SRR5788163"	64.29	14.66	0.19
"ERR2607525"	32.05	66.78	0.75
"ERR2607560"	84.06	15.62	0.16
"ERR2607438"	57.2	42.4	0.2
"ERR2607457"	35.25	64.61	0.03
"ERR2607539"	59.49	40.15	0.19
"SRR5453781"	89.13	1.38	0.01
"SRR6475283"	92.8	3.66	3.14
"ERR2607489"	71.48	26.54	1.44
"SRR5788111"	70.87	17.1	0.23
"ERR2607590"	76.28	21.58	1.81
"ERR2607546"	82.74	17.2	0.02
"ERR2607566"	54.68	43.72	1
"ERR2607413"	52.5	46.75	0.31
"ERR2607435"	63.75	35.73	0.2
"SRR5440534"	97.39	2.13	0.48
"ERR2607485"	81.46	17.76	0.5
"ERR2607397"	48.68	50.79	0.2
"ERR2607476"	78.57	20.98	0.05
"ERR2607403"	59.47	39.96	0.13
"SRR5440529"	98.62	0.86	0
"SRR5788164"	57.18	15.06	0.08
"SRR5213598"	94.18	4.39	0.98
"ERR2607587"	64.37	34.76	0.49
"SRR5788102"	68.25	12.77	0.12
"ERR2607509"	71.21	26.85	0.66
"ERR2607511"	90.27	9.42	0.08
"SRR5788130"	71.28	15.11	4.37
"ERR2607440"	75.63	22.81	0.9
"ERR2607520"	76.11	23.36	0.39
"ERR2607555"	83.24	16.56	0.09
"ERR2607548"	55.39	44.56	0.03
"ERR2607586"	60.24	38.66	0.54
"SRR5788115"	73.78	19.59	0.26
"SRR5788157"	69.47	21.87	0.21
"ERR2607518"	65.44	32.23	1.71
"ERR2607540"	61.14	38.19	0.19
"ERR2607428"	66.15	33.56	0.15
"ERR2607598"	65.18	34.44	0.17
"ERR2598796"	90.89	8.13	0.94
"ERR2607495"	51.92	47.53	0.22
"SRR5788141"	72.67	20.04	0.24
"SRR5788144"	93.14	4.72	0.08
"SRR5788143"	75.94	6.28	0.08
"SRR5788136"	71.1	15.58	4.01
"ERR2607549"	53.27	46.67	0.04
"SRR5788107"	61.72	25.64	0.26
"ERR2607561"	81.56	18.13	0.16
"SRR5788099"	81.71	5.09	0.35
"ERR2607376"	67.3	31.18	1.11
"SRR5788114"	70.83	19.62	0.3
"ERR2598799"	87.53	11.09	1.34
"SRR5788188"	67.46	25.63	0.18
"SRR5788140"	66.7	13.87	0.12
"SRR5788148"	69.1	21.63	0.15
"SRR5788159"	67.21	14.01	0.11
"ERR2607523"	77.99	20.92	0.48
"SRR4465029"	86.24	6.56	6.77
"ERR2607515"	62.31	37.32	0.34
"SRR5788196"	76.74	13.66	0.08
"SRR5788135"	71.04	19.67	0.26
"SRR5788146"	79.14	6.29	0.08
"ERR2607591"	29.06	70.85	0.07
"SRR5788147"	67.47	15.39	0.1
"SRR5788104"	67.19	17.97	3.73
"ERR2607504"	61.72	37.81	0.26
"ERR2607601"	65.97	33.65	0.16
"ERR2607568"	57.95	41.56	0.14
"SRR5788170"	71.7	10.26	0.17
"SRR5788230"	90.13	5.39	1.99
"SRR5788172"	68.28	22.12	0.16
"ERR2607527"	75.94	23.63	0.09
"SRR5788132"	64.2	25.18	0.18
"SRR5788183"	62.96	26.39	0.15
"SRR5788247"	69.49	12.98	0.34
"ERR2607383"	50.75	48.91	0.16
"SRR5788155"	64.03	10.99	0.18
"SRR5788174"	69.44	19.47	0.13
"ERR2607562"	65.36	33.82	0.15
"SRR5788121"	74.38	11.06	0.31
"SRR5788139"	73.54	6.6	0.26
"SRR5788179"	62.82	23.45	0.16
"SRR5788100"	67.42	19.63	0.23
"SRR5788127"	72.54	18.76	0.2
"SRR5788201"	73.56	15.14	0.08
"ERR2607532"	59.49	39.3	0.83
"SRR5788224"	57.58	30.72	0.15
"SRR5788119"	52.63	34.99	0.11
"ERR2607550"	53.94	45.69	0.25
"ERR2607474"	52.06	47.71	0.18
"SRR5788184"	67.39	25.14	0.13
"SRR5788113"	72.19	18.43	0.18
"SRR5788182"	60.44	19.26	0.15
"SRR5440533"	97.75	2.24	0.01
"SRR5788218"	67.86	21.56	0.38
"SRR5788137"	71.62	15.66	3.94
"ERR2607602"	66.99	32.29	0.43
"SRR5788131"	71.57	16.14	2.95
"SRR5788103"	72.63	15.54	0.21
"SRR5788217"	62.65	26.47	0.08
"SRR5788117"	72.91	18.35	0.34
"ERR2607411"	51.37	47.81	0.28
"SRR5788186"	71.77	7.55	0.15
"SRR5788138"	73.28	13.76	0.07
"SRR5788207"	69.59	17.6	3.28
"ERR2607536"	60.7	37.5	0.71
"SRR5788110"	67.92	8.79	0.28
"SRR5788226"	74.3	15.55	0.14
"SRR5788098"	64.48	25.61	0.13
"SRR5788126"	74.31	17.34	0.22
"SRR5788199"	77.05	12.29	0.08
"SRR5788120"	68.18	12.73	0.16
"SRR5788169"	63.7	27.13	0.03
"ERR2607444"	76.44	23.4	0.07
"SRR5788152"	64.6	13.38	0.14
"ERR2607559"	78.26	19.2	1.96
"SRR5788246"	59.1	28.1	0.16
"SRR6475633"	93.32	5.6	1.01
"SRR5788203"	70.48	17.64	4.68
"SRR5788134"	65.32	15.13	0.19
"SRR5788161"	62.62	14.19	0.25
"SRR5788156"	67.42	24.24	0.21
"SRR5788149"	60.6	28.66	0.09
"SRR5788176"	71.67	11.87	0.17
"ERR2607524"	75.64	23.21	0.54
"SRR6475631"	96.07	3.03	0.56
"SRR5788122"	57.86	14.72	0.27
"SRR5788128"	68.41	14.44	0.27
"ERR2607493"	37.99	61.6	0.31
"ERR2607416"	65.8	33.95	0.14
"ERR2607393"	52.3	47.18	0.2
"SRR5788151"	70.01	6.98	0.12
"ERR2021513"	93.95	5.03	0.98
"SRR5788106"	71.93	17.99	0.09
"SRR6475630"	95.57	4.03	0.36
"ERR2607450"	60.76	38.86	0.09
"SRR5788208"	69.56	17.58	3.01
"SRR5788150"	66.55	8.86	0.16
"SRR5788133"	70.29	21.05	0.25
"SRR5788289"	74.69	7.53	0.51
"SRR5788215"	48.61	36.43	0.11
"SRR5788212"	66.78	21.73	3.34
"SRR5788256"	71.33	19.59	0.29
"SRR5788108"	74.09	15.04	0.23
"SRR5788204"	56.93	29.86	0.62
"SRR5788229"	91.25	5.4	1.48
"SRR5788237"	92.25	5.36	0.07
"SRR5788219"	74.92	17.28	0.44
